dim,kary,level,vertices,edges,operator_position,algorithm,treewidth,time
1,2,10,93,157,397,meiji-e,8,2.715
1,2,9,130,218,0-340,meiji-e,8,4.125
1,2,8,69,116,104,meiji-e,8,2.15
1,2,9,134,225,0-451,meiji-e,8,2.831
1,2,5,34,55,0-1,meiji-e,5,0.524
1,2,9,83,140,492,meiji-e,8,2.336
1,2,8,94,156,0-128,meiji-e,7,1.032
1,2,8,112,188,0-95,meiji-e,9,7.936
1,2,8,112,188,0-103,meiji-e,9,8.553
1,2,9,128,215,0-243,meiji-e,9,12.208
1,2,9,130,218,0-453,meiji-e,8,3.563
1,2,8,118,198,0-182,meiji-e,8,3.214
1,2,10,144,242,0-503,meiji-e,9,13.216
1,2,10,146,245,0-700,meiji-e,8,3.756
1,2,10,142,238,0-520,meiji-e,8,3.199
1,2,9,110,185,0-22,meiji-e,9,10.873
1,2,8,77,130,43,meiji-e,8,2.667
1,2,6,82,137,0-37,meiji-e,8,2.103
1,2,9,87,147,183,meiji-e,8,2.629
1,2,10,97,164,366,meiji-e,8,3.159
1,2,10,142,238,0-889,meiji-e,8,3.35
1,2,10,142,238,0-713,meiji-e,8,4.399
1,2,9,108,180,0-192,meiji-e,9,2.875
1,2,10,93,157,437,meiji-e,8,2.809
1,2,10,144,242,0-466,meiji-e,9,13.835
1,2,10,85,143,656,meiji-e,8,2.976
1,2,10,150,252,0-734,meiji-e,8,5.288
1,2,9,130,218,0-444,meiji-e,8,3.344
1,2,9,124,208,0-204,meiji-e,9,9.546
1,2,10,93,157,684,meiji-e,8,2.966
1,2,9,128,215,0-182,meiji-e,9,10.712
1,2,10,97,164,27,meiji-e,8,3.282
1,2,10,132,221,0-368,meiji-e,9,5.478
1,2,8,77,130,83,meiji-e,8,2.566
1,2,10,138,231,0-688,meiji-e,8,2.829
1,2,9,134,225,0-299,meiji-e,8,3.913
1,2,8,102,171,0-36,meiji-e,9,7.012
1,2,10,150,252,0-906,meiji-e,8,4.179
1,2,9,122,205,0-67,meiji-e,9,11.017
1,2,10,81,136,928,meiji-e,8,2.006
1,2,10,138,231,0-721,meiji-e,8,2.702
1,2,10,144,242,0-310,meiji-e,9,12.277
1,2,10,150,252,0-514,meiji-e,8,4.522
1,2,10,97,164,798,meiji-e,8,3.642
1,2,9,126,211,0-473,meiji-e,8,3.156
1,2,10,140,235,0-460,meiji-e,9,10.419
1,2,10,85,143,464,meiji-e,8,2.131
1,2,9,134,225,0-363,meiji-e,8,3.66
1,2,8,112,188,0-87,meiji-e,9,7.467
1,2,10,146,245,0-781,meiji-e,8,4.294
1,2,10,93,157,244,meiji-e,8,3.812
1,2,8,77,130,150,meiji-e,8,2.406
1,2,8,73,123,36,meiji-e,8,2.417
1,2,10,134,224,0-992,meiji-e,8,2.115
1,2,10,93,157,300,meiji-e,8,3.075
1,2,10,136,228,0-264,meiji-e,9,9.177
1,2,9,83,140,205,meiji-e,8,2.876
1,2,9,87,147,399,meiji-e,8,3.398
1,2,9,87,147,439,meiji-e,8,3.163
1,2,8,114,191,0-220,meiji-e,8,2.415
1,2,10,144,242,0-431,meiji-e,9,11.778
1,2,10,144,242,0-366,meiji-e,9,13.732
1,2,7,96,161,0-54,meiji-e,9,6.746
1,2,10,97,164,1006,meiji-e,8,3.396
1,2,10,146,245,0-605,meiji-e,8,4.159
1,2,10,93,157,108,meiji-e,8,3.125
1,2,8,77,130,190,meiji-e,8,2.773
1,2,7,90,150,0-112,meiji-e,8,1.729
1,2,10,93,157,965,meiji-e,8,3.117
1,2,9,134,225,0-294,meiji-e,8,4.377
1,2,9,130,218,0-396,meiji-e,8,3.719
1,2,7,86,144,0-28,meiji-e,9,4.585
1,2,8,112,188,0-123,meiji-e,9,8.713
1,2,9,87,147,186,meiji-e,8,3.358
1,2,8,65,109,176,meiji-e,8,1.59
1,2,9,128,215,0-211,meiji-e,9,10.1
1,2,10,126,212,0-62,meiji-e,9,14.508
1,2,10,93,157,517,meiji-e,8,3.904
1,2,10,93,157,61,meiji-e,8,2.691
1,2,10,97,164,987,meiji-e,8,3.789
1,2,9,116,195,0-35,meiji-e,9,12.654
1,2,10,97,164,274,meiji-e,8,3.386
1,2,8,77,130,154,meiji-e,8,2.832
1,2,10,138,232,0-194,meiji-e,9,14.257
1,2,9,87,147,95,meiji-e,8,2.75
1,2,9,83,140,44,meiji-e,8,2.395
1,2,7,72,121,0-2,meiji-e,8,2.407
1,2,10,150,252,0-759,meiji-e,8,5.519
1,2,10,150,252,0-998,meiji-e,8,4.017
1,2,7,86,144,0-20,meiji-e,9,5.55
1,2,9,87,147,78,meiji-e,8,3.408
1,2,9,124,208,0-164,meiji-e,9,9.74
1,2,10,146,245,0-661,meiji-e,8,3.942
1,2,10,97,164,598,meiji-e,8,3.116
1,2,9,114,191,0-73,meiji-e,9,7.933
