Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_0.001_uccsd.qasm,16,3.1240,4.5000
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_1e-05_uccsd.qasm,16,3.3910,5.0030
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_1e-07_uccsd.qasm,16,3.4130,5.0050
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_1e-09_uccsd.qasm,16,4.3450,7.1780
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_1e-12_uccsd.qasm,16,4.3730,7.1950
chem_qasm/N2_1.32/N2_1.32_sto-3g_BK_ref.qasm,16,4.3480,7.2280
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_0.001_uccsd.qasm,16,3.1790,5.5400
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_1e-05_uccsd.qasm,16,3.8520,6.7050
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_1e-07_uccsd.qasm,16,3.8810,6.7510
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_1e-09_uccsd.qasm,16,4.8990,9.2590
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_1e-12_uccsd.qasm,16,4.8920,9.2670
chem_qasm/N2_1.32/N2_1.32_sto-3g_JW_ref.qasm,16,4.9090,9.2380
chem_qasm/N2/N2_sto-3g_BK_0.001_uccsd.qasm,16,2.5290,3.6120
chem_qasm/N2/N2_sto-3g_BK_1e-05_uccsd.qasm,16,3.3540,4.9440
chem_qasm/N2/N2_sto-3g_BK_1e-07_uccsd.qasm,16,3.2730,4.8650
chem_qasm/N2/N2_sto-3g_BK_1e-09_uccsd.qasm,16,2.8450,4.7360
chem_qasm/N2/N2_sto-3g_BK_1e-12_uccsd.qasm,16,2.8610,4.7420
chem_qasm/N2/N2_sto-3g_BK_ref.qasm,16,2.8680,4.7650
chem_qasm/N2/N2_sto-3g_JW_0.001_uccsd.qasm,16,4.6530,6.6540
chem_qasm/N2/N2_sto-3g_JW_1e-05_uccsd.qasm,16,3.7470,6.6310
chem_qasm/N2/N2_sto-3g_JW_1e-07_uccsd.qasm,16,3.7470,6.6370
chem_qasm/N2/N2_sto-3g_JW_1e-09_uccsd.qasm,16,4.5420,7.4600
chem_qasm/N2/N2_sto-3g_JW_1e-12_uccsd.qasm,16,4.5680,7.4270
chem_qasm/N2/N2_sto-3g_JW_ref.qasm,16,4.5670,7.4370
chem_qasm/C2-/C2-_sto-3g_BK_0.001_uccsd.qasm,16,3.1280,5.3720
chem_qasm/C2-/C2-_sto-3g_BK_1e-05_uccsd.qasm,16,13.9930,19.4910
chem_qasm/C2-/C2-_sto-3g_BK_1e-07_uccsd.qasm,16,14.1360,20.1050
chem_qasm/C2-/C2-_sto-3g_BK_1e-09_uccsd.qasm,16,14.1780,20.1450
chem_qasm/C2-/C2-_sto-3g_BK_1e-12_uccsd.qasm,16,14.0150,19.9820
chem_qasm/C2-/C2-_sto-3g_BK_ref.qasm,16,14.1890,20.1010
chem_qasm/C2-/C2-_sto-3g_JW_0.001_uccsd.qasm,16,2.6440,4.9140
chem_qasm/C2-/C2-_sto-3g_JW_1e-05_uccsd.qasm,16,4.3880,12.4120
chem_qasm/C2-/C2-_sto-3g_JW_1e-07_uccsd.qasm,16,4.8710,13.1330
chem_qasm/C2-/C2-_sto-3g_JW_1e-09_uccsd.qasm,16,4.8460,13.1390
chem_qasm/C2-/C2-_sto-3g_JW_1e-12_uccsd.qasm,16,4.8440,13.1660
chem_qasm/C2-/C2-_sto-3g_JW_ref.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_0.001_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_1e-05_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_1e-07_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_1e-09_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_1e-12_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_BK_ref.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_0.001_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_1e-05_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_1e-07_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_1e-09_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_1e-12_uccsd.qasm,16,4.8760,13.1160
chem_qasm/C2H4/C2H4_sto-3g_JW_ref.qasm,16,4.8760,13.1160
chem_qasm/N2-/N2-_sto-3g_BK_0.001_uccsd.qasm,16,3.7830,4.6100
chem_qasm/N2-/N2-_sto-3g_BK_1e-05_uccsd.qasm,16,5.0270,5.8170
chem_qasm/N2-/N2-_sto-3g_BK_1e-07_uccsd.qasm,16,5.0570,5.8410
chem_qasm/N2-/N2-_sto-3g_BK_1e-09_uccsd.qasm,16,5.0010,5.7940
chem_qasm/N2-/N2-_sto-3g_BK_1e-12_uccsd.qasm,16,5.0440,5.8370
chem_qasm/N2-/N2-_sto-3g_BK_ref.qasm,16,5.3780,6.1820
chem_qasm/N2-/N2-_sto-3g_JW_0.001_uccsd.qasm,16,1.8320,3.7110
chem_qasm/N2-/N2-_sto-3g_JW_1e-05_uccsd.qasm,16,3.0540,5.1370
chem_qasm/N2-/N2-_sto-3g_JW_1e-07_uccsd.qasm,16,3.0460,5.1530
chem_qasm/N2-/N2-_sto-3g_JW_1e-09_uccsd.qasm,16,3.0480,5.1420
chem_qasm/N2-/N2-_sto-3g_JW_1e-12_uccsd.qasm,16,3.0500,5.1350
chem_qasm/N2-/N2-_sto-3g_JW_ref.qasm,16,3.0640,5.1450
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_0.001_uccsd.qasm,16,3.5180,5.2910
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_1e-05_uccsd.qasm,16,3.8270,5.4050
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_1e-07_uccsd.qasm,16,3.8390,5.4230
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_1e-09_uccsd.qasm,16,4.6110,7.4270
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_1e-12_uccsd.qasm,16,4.6540,7.4790
chem_qasm/N2_1.59/N2_1.59_sto-3g_BK_ref.qasm,16,4.6550,7.4640
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_0.001_uccsd.qasm,16,3.1360,6.0070
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_1e-05_uccsd.qasm,16,3.7840,6.6370
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_1e-07_uccsd.qasm,16,3.7980,6.6460
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_1e-09_uccsd.qasm,16,5.0900,9.3260
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_1e-12_uccsd.qasm,16,5.1090,9.3910
chem_qasm/N2_1.59/N2_1.59_sto-3g_JW_ref.qasm,16,5.1080,9.3400
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_0.001_uccsd.qasm,4,0.0280,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_1e-05_uccsd.qasm,4,0.0280,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_1e-07_uccsd.qasm,4,0.0270,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_1e-09_uccsd.qasm,4,0.0270,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_1e-12_uccsd.qasm,4,0.0270,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_BK_ref.qasm,4,0.0270,0.0350
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_0.001_uccsd.qasm,4,0.0310,0.0390
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_1e-05_uccsd.qasm,4,0.0310,0.0390
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_1e-07_uccsd.qasm,4,0.0320,0.0390
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_1e-09_uccsd.qasm,4,0.0310,0.0380
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_1e-12_uccsd.qasm,4,0.0320,0.0390
chem_qasm/H2_0.75/H2_0.75_sto-3g_JW_ref.qasm,4,0.0320,0.0400
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_0.001_uccsd.qasm,16,2.5930,3.6950
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_1e-05_uccsd.qasm,16,3.3020,4.9610
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_1e-07_uccsd.qasm,16,3.9840,5.5910
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_1e-09_uccsd.qasm,16,5.6270,8.4660
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_1e-12_uccsd.qasm,16,5.3660,8.2020
chem_qasm/N2_1.12/N2_1.12_sto-3g_BK_ref.qasm,16,5.3430,8.1740
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_0.001_uccsd.qasm,16,3.4650,5.3660
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_1e-05_uccsd.qasm,16,4.0240,6.9790
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_1e-07_uccsd.qasm,16,3.7130,6.5790
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_1e-09_uccsd.qasm,16,5.3190,10.5960
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_1e-12_uccsd.qasm,16,5.3240,10.6220
chem_qasm/N2_1.12/N2_1.12_sto-3g_JW_ref.qasm,16,5.3160,10.6290
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_0.001_uccsd.qasm,16,2.5950,3.8830
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_1e-05_uccsd.qasm,16,3.6820,5.2600
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_1e-07_uccsd.qasm,16,3.6510,5.2370
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_1e-09_uccsd.qasm,16,3.6890,5.2800
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_1e-12_uccsd.qasm,16,3.6780,5.2640
