Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node18-p1.qasm,10,0.0340,0.0550
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node19-p1.qasm,10,0.1610,0.1860
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node2-p1.qasm,10,0.0630,0.0840
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node20-p1.qasm,10,0.0650,0.0890
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node21-p1.qasm,10,0.0640,0.0870
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node22-p1.qasm,10,0.0880,0.1150
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node23-p1.qasm,10,0.1080,0.1280
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node24-p1.qasm,10,0.0340,0.0550
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node25-p1.qasm,10,0.0330,0.0540
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node26-p1.qasm,10,0.0680,0.0920
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node27-p1.qasm,10,0.0330,0.0540
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node28-p1.qasm,10,0.0330,0.0530
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node29-p1.qasm,10,0.0900,0.1150
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node3-p1.qasm,10,0.0910,0.1180
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node30-p1.qasm,10,0.0880,0.1150
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node31-p1.qasm,10,0.0630,0.0860
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node32-p1.qasm,10,0.0340,0.0550
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node33-p1.qasm,10,0.4720,0.5290
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node34-p1.qasm,10,0.0390,0.0600
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node35-p1.qasm,10,0.0430,0.0630
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node36-p1.qasm,10,0.1380,0.1660
